Plate,Well,Sample,Target,CT,Quantity,log10Q
30,C4,B Stand,B,35.29806519,4000,3.602059991
31,C3,B Stand,B,36.9291153,4000,3.602059991
31,C4,B Stand,B,36.59774017,4000,3.602059991
32,C3,B Stand,B,,4000,3.602059991
32,C4,B Stand,B,35.35258102,4000,3.602059991
33,C3,B Stand,B,36.46791077,4000,3.602059991
33,C4,B Stand,B,35.64309692,4000,3.602059991
34,C3,B Stand,B,36.78154755,4000,3.602059991
34,C4,B Stand,B,35.65880966,4000,3.602059991
35,C3,B Stand,B,36.372715,4000,3.602059991
35,C4,B Stand,B,35.66329956,4000,3.602059991
36,C3,B Stand,B,35.96963501,4000,3.602059991
36,C4,B Stand,B,35.02531815,4000,3.602059991
38,C3,B Stand,B,36.00520325,4000,3.602059991
38,C4,B Stand,B,35.66976547,4000,3.602059991
39,C3,B Stand,B,36.54669952,4000,3.602059991
39,C4,B Stand,B,35.42028427,4000,3.602059991
40,C3,B Stand,B,35.8702507,4000,3.602059991
40,C4,B Stand,B,36.58765793,4000,3.602059991
37,C3,B Stand,B,35.77818298,4000,3.602059991
37,C4,B Stand,B,34.92063522,4000,3.602059991
42,C1,B Stand,B,37.4956131,4000,3.602059991
42,C2,B Stand,B,36.60835266,4000,3.602059991
43,C3,B Stand,B,35.79299545,4000,3.602059991
43,C4,B Stand,B,35.84791946,4000,3.602059991
44,C3,B Stand,B,36.30738068,4000,3.602059991
44,C4,B Stand,B,34.64193344,4000,3.602059991
2,D5,D Stand,D,29.83839989,4000,3.602059991
2,D6,D Stand,D,29.13209724,4000,3.602059991
3,D5,D Stand,D,,4000,3.602059991
3,D6,D Stand,D,28.8499527,4000,3.602059991
4,C5,D Stand,D,29.82144356,4000,3.602059991
4,C6,D Stand,D,29.68619347,4000,3.602059991
5,C5,D Stand,D,29.39747047,4000,3.602059991
5,C6,D Stand,D,29.25785255,4000,3.602059991
6,C5,D Stand,D,29.29277039,4000,3.602059991
6,C6,D Stand,D,29.2510376,4000,3.602059991
7,C3,D Stand,D,29.43983841,4000,3.602059991
7,C4,D Stand,D,30.44215202,4000,3.602059991
8,C5,D Stand,D,28.74191475,4000,3.602059991
8,C6,D Stand,D,,4000,3.602059991
9,C5,D Stand,D,,4000,3.602059991
9,C6,D Stand,D,29.12825584,4000,3.602059991
10,C5,D Stand,D,29.22992706,4000,3.602059991
10,C6,D Stand,D,29.98223877,4000,3.602059991
11,C5,D Stand,D,29.47642136,4000,3.602059991
11,C6,D Stand,D,29.53846169,4000,3.602059991
12,C5,D Stand,D,29.16720581,4000,3.602059991
12,C6,D Stand,D,29.78250313,4000,3.602059991
13,C5,D Stand,D,Undetermined,4000,3.602059991
13,C6,D Stand,D,Undetermined,4000,3.602059991
